profile_id,minute_1,minute_2,minute_3,minute_4,minute_5,minute_6,minute_7,minute_8,minute_9,minute_10,minute_11,minute_12,minute_13,minute_14,minute_15,minute_16,minute_17,minute_18,minute_19,minute_20,minute_21,minute_22,minute_23,minute_24,minute_25,minute_26,minute_27,minute_28,minute_29,minute_30,minute_31,minute_32,minute_33,minute_34,minute_35,minute_36,minute_37,minute_38,minute_39,minute_40,minute_41,minute_42,minute_43,minute_44,minute_45,minute_46,minute_47,minute_48,minute_49,minute_50,minute_51,minute_52,minute_53,minute_54,minute_55,minute_56,minute_57,minute_58,minute_59,minute_60
1,514.103298451266,509.8247892339097,534.9266436277065,548.742405661862,520.3348200139975,553.6283846285704,571.9081637678951,586.502404184332,557.7156073603076,554.2426230129972,545.1984847092779,575.07203392868,578.6575609993804,590.0139570071435,574.9614072192328,553.604500300491,557.4254353915995,526.8926433188918,549.8268253583726,559.0433332969171,577.1094751028933,562.6331694875863,595.5820311952295,595.7870516943896,591.3097635270833,564.8135746999187,562.4840449608112,530.5503085659171,506.35057301064546,519.1639997376172,536.2973506511645,569.0230319215592,555.5200011745866,546.4521805970274,544.321087386334,522.5840825222341,496.6785878957171,494.97793273153246,475.86158716509436,487.74856679287007,483.3492011139332,506.6366748379818,520.6552319781392,507.5208968748821,530.7790829725461,552.1125879973223,544.2360745294345,529.4190418045516,542.1937270827999,516.9764009354516,495.96997510870915,461.48533399127956,481.57004041642926,493.1096003778715,507.471176881715,527.1222090532527,524.2463133409366,529.0581970576392,503.8439869265752,476.86109207409334
2,473.99312548037926,471.96985991039855,476.53638736408175,495.0863073832035,504.5165897832449,508.2671478293046,512.4116490814836,498.6881559458664,465.8454043656222,461.41562161188756,441.4365487092546,435.03355376997916,459.7717688987508,441.14753290932464,410.22872482755923,394.925597269099,380.47716031276684,391.8113163436495,395.80356700753896,415.6764416449879,427.17838946790505,420.62546976871,442.6068966953324,419.2950010888717,385.8848462082419,357.18819646253684,372.75335100428833,370.08475712188545,346.3737816542376,346.446915911473,322.1087631013948,335.8511893568363,332.08212864701846,323.75361447377225,309.8594607141236,318.9792422324458,309.3061249711831,280.4416193233102,253.70203247174626,286.08432458437767,314.68497293391016,328.6644723006626,312.275369602829,345.1177160171697,364.63027929477533,379.812592535905,376.26789768597024,360.32480701513134,332.07217436587626,360.2543421239452,357.158682412298,336.3241179479641,322.7410816385098,328.2864514644425,305.6605462701887,330.623546156655,348.7199132451197,364.0823201616853,359.32883294594257,368.2404517951136
3,441.95722818683953,452.44649029567694,423.3575927754692,417.46411092741187,385.37710309774434,384.9564604448607,373.04674530815566,348.16343852877895,320.40164626935757,326.5367663217974,303.4782741193794,333.23668240575523,338.9109621847829,328.1918485022215,334.55593290592066,301.15220387799945,333.25134880490066,332.01258939090366,351.8040552984237,322.5951552929944,321.6612384516656,321.0107280564821,351.6585799047309,356.6795435710562,354.8238016450429,338.51209806147546,326.7219278754541,328.1689960484618,323.89279826981505,290.4056438614382,313.24607855504325,340.9773325838269,315.79476881372966,319.57729886146313,292.1776007409442,304.234407253731,288.9207721224616,300.0803565508947,315.96997955097646,334.7753039852125,307.3171702021252,336.43799936175776,317.5529787243994,285.17185765673196,289.0115305141358,279.9760903845065,303.0613724037754,324.63897544827654,311.8386979458666,343.54165560074875,328.9059042705571,329.9599033167771,312.8774596565093,343.4005095599367,319.923056790678,288.06680014814106,283.5235943483537,317.9898838322623,345.4072924701063,362.80985383209276
4,558.5011465338395,586.0424113126899,576.4444655074618,559.9438599991347,578.9847302469038,581.0478643884203,566.2074968489296,537.7060954092225,554.9813682036543,538.3536043182548,568.9305248556194,549.8513242714846,523.4443795402887,546.622266589032,522.3521687527466,499.9009503237883,506.8577457302473,533.0770885888699,511.82751518889,498.5501722918966,517.968510968779,550.9963607930467,551.0482438272107,526.1210690057983,492.0966091453724,473.17253124529225,447.4000864903487,459.83619364324875,433.3644689672459,433.8075641806902,447.4059346756922,453.08409732115535,432.06839293735936,453.35710977011775,468.43560884322386,485.1644891173118,459.3385317263237,433.0012979818478,462.93067655230334,455.7611501200492,441.827558544715,441.0284417193223,452.4289366127731,484.322564606061,469.37380048780483,499.11039053964674,465.85055493668466,469.71441789956236,479.0926757172383,451.505493979791,426.3292657742649,420.66726812640616,453.3035019764289,460.026480702835,490.33810621484974,511.6433703077577,509.36008241662813,529.2935238642812,495.5420987426703,468.18217851627173
5,535.1828736554398,555.9600698382012,537.2449217758516,539.3987931177853,546.819900566786,572.5616273311068,575.2186567802989,564.8827393657396,556.0756224042424,550.8873684503881,561.5225402409862,587.2468844636489,573.921874715028,554.0594505915437,535.6258160013745,552.8468156184157,575.0066290580894,546.32261595483,515.9817359416925,522.5920924046441,497.82421949813295,520.5507128300768,507.274140004762,482.34517531274196,511.81310838686346,488.40032897833294,473.3307347419884,449.08367240543254,422.1679768620074,388.6483380055582,357.5260166470564,334.75091961256607,303.48765489646837,309.86772202423634,322.5177389002018,315.07187087844375,302.3312476650872,302.6480842566433,328.8984302130659,353.47764409062034,321.5208984315158,299.22578710327247,280.79792808058016,263.255058388835,268.2413440108291,262.3797138100526,230.82750220498417,237.12180275406928,247.29894788492285,226.33405258035955,254.45021968584672,223.6087630412881,255.70700057158038,227.64492048217167,255.97418673163796,284.15990680657114,317.72985444763265,338.8716660667842,358.4350939207772,368.4089232404655
6,516.018614739689,490.4372693286093,492.9620318449439,493.9576327582729,518.987682846852,516.3836384383981,508.3399031654228,518.1093321520206,501.76176437707977,476.54555314385675,474.99696232551895,469.1792181271609,450.45911396418205,441.184940672241,431.8324121600783,419.7571016689565,411.31958724984156,424.32162143175776,410.10297465174773,441.52302952182157,470.667390889494,469.3311208704995,457.31640522082773,459.79684050892797,484.19607472308167,494.8771885622888,516.1846165185842,518.475175843186,527.7794098919194,512.9503028846917,529.392824246412,508.5611457652123,522.1970147825073,547.4473495653199,521.6945481764279,529.7011300143623,501.35783239045776,517.1579263694576,488.07245168710404,518.5882392761479,493.20679437879403,525.3284115924297,546.3903039183865,552.9480442310313,572.7317315550996,587.2421557934222,597.4223688746587,571.9439150785295,574.1517908463558,544.9353642996405,553.066963301329,530.0573545878242,534.6038973908951,539.6740333732646,537.2929940819505,538.8772183678691,557.3518556683302,578.2989858241749,571.2045722771952,574.4558923389188
7,573.8697695622386,546.1891114184524,519.3863610314602,490.525991865214,501.57642181805096,495.8790028733775,515.0815020033065,527.067700934908,515.4223440178846,543.3080023331921,561.6852526281377,545.6226984918501,536.1161397358939,523.1269383501923,499.15975375394225,474.50458983189566,505.03351226819774,500.68679487211045,492.5191824665291,508.5971820739456,512.3066966416485,542.8364957203408,562.4576002939983,561.0134697827161,552.358632926374,586.4228410710765,586.2895941282871,597.6226720800802,567.0510847122071,589.8439256289564,583.6116813143129,554.8770313752915,561.055091373137,574.0818369305184,539.8312939556729,536.6335512845951,559.4115170683376,545.0866488424239,542.1850145683225,538.147003463075,524.2819208640493,553.5728535501381,573.2634360303442,545.0907845401082,579.8832105887383,593.3418931788844,570.1689812108407,589.4258390914222,559.2758199607441,594.2131510939408,586.364333844588,582.9835970605877,552.6879983575277,580.4803362802915,547.0613794430377,528.919343505918,503.9308747675825,523.3046306160378,502.17892652094065,530.9236024201026
8,469.3822349444463,436.91362467907504,402.29371306808406,370.909767259092,378.32452969443295,399.42825645459203,381.1269538985092,405.58557290312433,374.5918087138526,395.6592784687699,425.60495858082953,444.65254651813615,458.52100139664077,482.1796167025176,449.99020767081225,429.11495542114613,402.85961297254113,403.1767822860502,420.3399512690693,429.44078038941717,454.01995737275263,429.88486684362897,446.3083432790903,424.8212476399136,408.77436023215967,423.4676890418509,457.0820239847586,464.8900764031535,433.7050984525442,441.8467263474715,409.81126495808314,436.7014647537603,451.37194471080375,428.49089396037897,399.91136436807284,377.7586903896952,411.36059295848867,408.459837930583,428.34550431448156,437.89408826202595,442.96300875913056,418.12212658568404,449.34383833475067,435.4378226107809,440.89902771730885,454.8833438385435,465.3296647057151,496.1712733844014,471.56200267880547,472.14669437009144,465.4291017219451,463.62091278572836,436.96613961957047,411.35276231066405,395.81805051535207,382.14737277861025,377.10059773630474,384.86972602886874,394.29376424814717,388.1205270091371
9,375.33758158290493,355.5715784516923,361.75301584032286,348.9458796325295,316.47006803194495,310.7580711229252,308.9473583792371,289.73885915353185,294.81091447207996,299.4149475023144,313.5551001800404,323.91149393412513,334.58180789059736,321.71679851828037,341.8370540572971,345.2771609092747,340.476434571867,349.297308237741,339.5433216492588,340.4350687717319,357.0044669654873,384.0526690361469,413.5266728468103,413.78097760962726,415.2002356414671,436.19116439493564,423.20271281702975,446.81947818118454,446.40939343740416,419.51936414087294,389.563504435979,413.5030292087414,382.39278339222284,367.03558392157873,355.4246867566869,332.5342979200985,319.50683380623775,336.4953134769937,302.52311252619864,325.4252522426467,350.3836138928658,341.4419240162742,317.19482695051863,324.2536555066743,297.6307344172169,288.1750896926946,320.26513235576266,354.9476454366173,373.99498783143827,360.7622935258919,373.89884696751835,388.2772925513992,380.4262112128547,390.28841563388585,356.0393507821832,335.6733868843401,337.4295680920484,313.8921593901291,290.5056401414865,314.0469404800031
10,595.8705410197701,582.6253239480711,591.57132928798,599.5796827469853,569.5950540418138,563.9125341527086,556.392624261643,526.996074116876,544.8691862125081,540.2337181250896,538.0866035184176,513.6337116853445,491.2985773415052,519.7958308924403,487.92126712063987,469.2209270666993,454.6650801887163,453.97890815682734,460.03007026786304,459.5603685774097,430.4484419963914,412.50516378029135,436.55635071366925,446.1875597471614,456.6279932565606,468.54222113115543,486.9454324639225,456.0130261844238,446.6756131297067,449.44253359802417,438.134487428837,462.24800855894006,461.02808416005064,479.8320154222072,504.473101603889,504.8085054071339,533.4771624781284,539.5758383157171,564.0950392340776,552.9363949254843,552.8535820226882,555.0523548930087,527.4009350057336,520.2996104748414,549.5132475534588,558.6715043789907,536.0969651495784,524.8168596422507,503.22907031863974,469.9666895445398,499.88892163982166,496.26343461780266,482.7908896872577,489.68429309629926,455.1963050368104,439.6578524988673,453.8701950977898,463.2340792126382,496.96049554061574,505.3855352166788
