Date;Time;Eur/MWh
01.03.2026;00:00 - 00:15;65,78
01.03.2026;00:15 - 00:30;67,28
01.03.2026;00:30 - 00:45;64,81
01.03.2026;00:45 - 01:00;60,27
01.03.2026;01:00 - 01:15;73,43
01.03.2026;01:15 - 01:30;65,7
01.03.2026;01:30 - 01:45;62,5
01.03.2026;01:45 - 02:00;58,59
01.03.2026;02:00 - 02:15;63,77
01.03.2026;02:15 - 02:30;62,34
01.03.2026;02:30 - 02:45;64,37
01.03.2026;02:45 - 03:00;66,68
01.03.2026;03:00 - 03:15;60,74
01.03.2026;03:15 - 03:30;62,28
01.03.2026;03:30 - 03:45;65,99
01.03.2026;03:45 - 04:00;71,09
01.03.2026;04:00 - 04:15;59,27
01.03.2026;04:15 - 04:30;64,24
01.03.2026;04:30 - 04:45;72,36
01.03.2026;04:45 - 05:00;76,16
01.03.2026;05:00 - 05:15;69,48
01.03.2026;05:15 - 05:30;69,7
01.03.2026;05:30 - 05:45;70,56
01.03.2026;05:45 - 06:00;72,65
01.03.2026;06:00 - 06:15;65,17
01.03.2026;06:15 - 06:30;71,44
01.03.2026;06:30 - 06:45;73,86
01.03.2026;06:45 - 07:00;73,42
01.03.2026;07:00 - 07:15;72,98
01.03.2026;07:15 - 07:30;72,81
01.03.2026;07:30 - 07:45;71,22
01.03.2026;07:45 - 08:00;58,21
01.03.2026;08:00 - 08:15;71,31
01.03.2026;08:15 - 08:30;59,56
01.03.2026;08:30 - 08:45;47,88
01.03.2026;08:45 - 09:00;44,49
01.03.2026;09:00 - 09:15;50,5
01.03.2026;09:15 - 09:30;27,26
01.03.2026;09:30 - 09:45;11,13
01.03.2026;09:45 - 10:00;0,11
01.03.2026;10:00 - 10:15;0,86
01.03.2026;10:15 - 10:30;0
01.03.2026;10:30 - 10:45;-0,06
01.03.2026;10:45 - 11:00;-0,81
01.03.2026;11:00 - 11:15;0,01
01.03.2026;11:15 - 11:30;0
01.03.2026;11:30 - 11:45;-0,01
01.03.2026;11:45 - 12:00;-0,1
01.03.2026;12:00 - 12:15;-0,1
01.03.2026;12:15 - 12:30;-0,11
01.03.2026;12:30 - 12:45;-0,25
01.03.2026;12:45 - 13:00;-1
01.03.2026;13:00 - 13:15;-1,01
01.03.2026;13:15 - 13:30;-1,03
01.03.2026;13:30 - 13:45;-1
01.03.2026;13:45 - 14:00;-0,11
01.03.2026;14:00 - 14:15;-1
01.03.2026;14:15 - 14:30;-0,06
01.03.2026;14:30 - 14:45;0
01.03.2026;14:45 - 15:00;1,03
01.03.2026;15:00 - 15:15;0
01.03.2026;15:15 - 15:30;0,13
01.03.2026;15:30 - 15:45;36,79
01.03.2026;15:45 - 16:00;77,45
01.03.2026;16:00 - 16:15;40,98
01.03.2026;16:15 - 16:30;68,79
01.03.2026;16:30 - 16:45;105,1
01.03.2026;16:45 - 17:00;119,56
01.03.2026;17:00 - 17:15;102,9
